,Fecha,humedad_relativa
1666,2010-01-22,72.0
1669,2010-01-23,76.33333333333333
1672,2010-01-24,84.0
1675,2010-01-25,78.66666666666667
1678,2010-01-26,80.66666666666667
1681,2010-01-27,72.33333333333333
1684,2010-01-28,80.66666666666667
1687,2010-01-29,75.66666666666667
1690,2010-01-30,62.0
1693,2010-01-31,56.0
1696,2010-02-15,70.5
1698,2010-02-16,84.66666666666667
1701,2010-02-17,72.66666666666667
1704,2010-02-18,74.0
1707,2010-02-19,77.66666666666667
1710,2010-02-20,81.33333333333333
1713,2010-02-21,74.33333333333333
1716,2010-02-22,83.0
1719,2010-02-23,96.33333333333333
1722,2010-02-24,81.5
1724,2010-02-25,85.0
1727,2010-02-26,90.0
1730,2010-02-27,78.66666666666667
1733,2010-02-28,75.5
1735,2010-03-01,70.66666666666667
1738,2010-03-02,86.33333333333333
1741,2010-03-03,81.33333333333333
1744,2010-03-04,73.66666666666667
1747,2010-03-05,77.0
1750,2010-03-06,79.33333333333333
1753,2010-03-07,72.66666666666667
1756,2010-03-08,69.66666666666667
1759,2010-03-09,85.0
1762,2010-03-10,81.0
1765,2010-03-11,82.33333333333333
1768,2010-03-12,72.66666666666667
1771,2010-03-13,80.0
1774,2010-03-14,77.33333333333333
1777,2010-03-15,73.33333333333333
1780,2010-03-16,83.0
1783,2010-03-17,85.66666666666667
1786,2010-03-18,87.66666666666667
1789,2010-03-19,69.33333333333333
1792,2010-03-20,76.66666666666667
1795,2010-03-21,63.666666666666664
1798,2010-03-22,78.66666666666667
1801,2010-03-23,75.33333333333333
1804,2010-03-24,66.0
1807,2010-03-25,72.0
1810,2010-03-26,84.0
1813,2010-03-27,76.0
1816,2010-03-28,69.0
1819,2010-03-29,68.0
1822,2010-03-30,86.33333333333333
1825,2010-03-31,84.66666666666667
1828,2010-04-01,78.66666666666667
1831,2010-04-02,83.33333333333333
1834,2010-04-03,86.0
1837,2010-04-04,96.0
1840,2010-04-05,87.66666666666667
1843,2010-04-06,88.66666666666667
1846,2010-04-07,84.33333333333333
1849,2010-04-08,84.0
1852,2010-04-09,94.66666666666667
1855,2010-04-10,90.0
1858,2010-04-11,93.66666666666667
1861,2010-04-12,85.0
1864,2010-04-13,85.0
1867,2010-04-14,82.33333333333333
1870,2010-04-15,81.33333333333333
1873,2010-04-16,81.0
1876,2010-04-17,91.33333333333333
1879,2010-04-18,81.66666666666667
1882,2010-04-19,92.66666666666667
1885,2010-04-20,77.66666666666667
1888,2010-04-21,82.33333333333333
1891,2010-04-22,74.0
1893,2010-04-23,67.0
1896,2010-04-24,82.33333333333333
1899,2010-04-25,82.5
1901,2010-04-26,92.0
1904,2010-04-27,82.0
1907,2010-04-28,89.0
1910,2010-04-29,91.5
1912,2010-04-30,88.33333333333333
1915,2010-05-01,88.0
1918,2010-05-02,85.66666666666667
1921,2010-05-03,89.33333333333333
1924,2010-05-04,81.66666666666667
1927,2010-05-05,76.33333333333333
1930,2010-05-06,85.0
1933,2010-05-07,81.66666666666667
1936,2010-05-08,75.0
1939,2010-05-09,76.0
1942,2010-05-10,71.5
1944,2010-05-11,84.33333333333333
1947,2010-05-12,74.33333333333333
1950,2010-05-13,67.0
1953,2010-05-14,68.5
1955,2010-05-15,72.66666666666667
1958,2010-05-16,76.66666666666667
1961,2010-05-17,81.66666666666667
1964,2010-05-18,82.0
1967,2010-05-19,86.33333333333333
1970,2010-05-20,83.0
1973,2010-05-21,87.33333333333333
1976,2010-05-22,87.0
1979,2010-05-23,73.5
1981,2010-05-24,83.0
1984,2010-05-25,82.33333333333333
1987,2010-05-26,85.0
1990,2010-05-27,86.33333333333333
1993,2010-05-28,78.33333333333333
1996,2010-05-29,78.5
1998,2010-05-30,84.0
2001,2010-05-31,83.33333333333333
2004,2010-06-01,83.66666666666667
2007,2010-06-02,91.0
2010,2010-06-03,88.0
2013,2010-06-04,83.33333333333333
2016,2010-06-05,64.0
2019,2010-06-06,60.666666666666664
2022,2010-06-07,67.5
2024,2010-06-08,76.0
2027,2010-06-09,79.0
2030,2010-06-10,80.66666666666667
2033,2010-06-11,68.0
2036,2010-06-12,77.0
2039,2010-06-13,89.66666666666667
2042,2010-06-14,86.0
2045,2010-06-15,84.0
2048,2010-06-16,83.33333333333333
2051,2010-06-17,79.33333333333333
2054,2010-06-18,86.0
2057,2010-06-19,89.0
2060,2010-06-20,95.66666666666667
2063,2010-06-21,65.5
2065,2010-06-22,78.33333333333333
2068,2010-06-23,78.66666666666667
2071,2010-06-24,73.33333333333333
2074,2010-06-25,84.66666666666667
2077,2010-06-26,80.0
2080,2010-06-27,77.66666666666667
2083,2010-06-28,85.33333333333333
2086,2010-06-29,82.0
2089,2010-06-30,82.66666666666667
